,city,nickName,province,sex,signature
43,广州,蛋炒饭,广东,1,你手剧毒，你爸妈知道吗？
44,深圳,衣鹏,广东,1,
45,深圳,刘智平,广东,1,
46,,胖胖,,0,
47,广州,王和贯,广东,1,天道酬勤
48,南宁,筷子,广西,1,爱过!
49,广州,素素,广东,2,不忘初心，方得始终
50,深圳,何麒麟,广东,1,吼吼吼吼公民
51,广州,无厘头大,广东,1,夏
52,广州,我爱小屁猪,广东,1,一头热爱自由，特立独行的猪。。。。。。。视频，，山，
53,广州,藏狼,广东,1,专业维修核潜艇，回收二手航母，大修核反应堆，航天飞机保养换滤
54,郑州,郑州浪潮～姚万峰,河南,0,山登绝顶我为峰
55,广州,李梦琦,广东,2,努力现在
56,汕头,lusun,广东,1,宽容 感恩 谢谢
57,Melbourne,KTTSUI,Victoria,2,Eventually found what is tough to comprehend is Life 
58,深圳,So,广东,1,777
59,广州,小李菜刀,广东,1,
60,广州,唐力,广东,1,
61,广州,叶无边,广东,1,
62,广州,陈复珠,广东,2,
63,广州, 大头仔,广东,1,wen 332595920
64,,andy,山东,1,南无阿弥陀佛
65,济南,王鸿飞山东万佳,山东,1,
66,广州,小鱼飞飞,广东,1,
67,广州,陈松龄,广东,1,每天醒来，原谅所有的人和事。
68,深圳,莫名,广东,1,看时间不是为了起床，而是看还能睡多久
69,,孟非,Tyrol,1,
70,九龙城区,谜一样的男人,香港,1,累了吧，累就对了。舒服是留给死人的
71,广州,Tango 张伟乐,广东,1,：
72,深圳,刘国梁,广东,1,深圳市欣维度信息技术有限公司(www.xwd-it.com)
73,广州,福荣,广东,1,大益茶批发零售，中酒花园广州酒家，月饼团购，粤微牌灵芝销售。
74,广州,聂九武,广东,1,苏世独立，横而不流
75,深圳,COLOUR,广东,0,
76,深圳,何武林,广东,1,
77,广州,飞鱼,广东,2,云游四海，环游世界。
78,广州,老虎🐯,广东,1,大智若愚、大巧若拙、大象无形、大音希声！
79,佛山,笨虫子先生,广东,1,正和博弈！
80,广州,King,广东,1,make the change!
81,广州,许永,广东,1, 
82,广州,欣,广东,2,希望在明天。
83,佛山,许昌,广东,1,
84,,tony,,0,
85,广州,丹丹,广东,2,
86,广州,林翔,广东,1,
87,东莞,明,广东,1,
88,广州,郭涛,广东,1,倾听自己内心的声音。
89,广州,李晶,广东,1,
90,广州,李元,广东,1,云计算
91,广州,啊等,广东,1,把爱给众生...
92,广州,伍礼军（IT产品及服务）,广东,1,千军易得，一将难求。
93,东莞,YC.LU0,广东,1,而立之年再不努力就老了，17努力
94,广州,lulu,广东,2,宠辱不惊，笑看人间花开花落。
95,广州,商策,广东,1,每一分私下的努力，都会倍增的表现出来！！！
96,广州,Lear,广东,1,
97,广州,锐捷网络～梅焱,广东,1,思想革命
98,广州,Gary_Huang,广东,1,
99,广州,平哥,广东,1,混在广州!
100,深圳,SHWF,广东,1,
101,深圳,李洋,广东,1,
102,广州,山水,广东,1,过呗！
103,广州,-MEIBAO-,广东,2,命运因思想而变。
104,广州,沉默,广东,1,
105,湛江,陈志军,广东,1,天行健，君子以自强不息；地势坤，君子以厚德载物。
106,郑州,庄宁,河南,1,
107,广州,泉乐72,广东,1,曹耀斐
108,广州,风过有痕,广东,1,此心不动  随机而动
109,广州,廖小燕,广东,2,冬来岭上一枝梅；叶落枝枯终不摧；但得阳春悄急至依然还我作花魁
110,广州,随意,广东,1,不要试图让每一个人都喜欢你， 有些人的存在就是用来敌对的。
111,深圳,席,广东,1,席
112,广州,Leo-蓝,广东,1,心境须是上升的曲线。
113,广州,方晓慧,广东,2,真诚、团结、奋斗、感恩！
114,广州,鹰隼展翼,广东,1,高端大气上档次，低调奢华有内涵
115,广州,虾饺pizza~,广东,2,任何经历，包括爱情、工作，不是得到，就是学到。
116,深圳,葛浩敏^_^,广东,2,
117,Irvine,Jaycee,California,2,如果有一天失去你的陪伴，我的生活还有什么温暖和色彩
118,广州,欧阳凯,广东,1,
119,广州,张良,广东,1,以颤抖之身追赶，以敬畏之心挑战
120,深圳,Gary,广东,1,你尽力了，才有资格说自己运气不好
121,太原,想飞,山西,1,Do it now
122,广州,冼剑明,广东,1,老男孩T^T-闷骚哥
123,阳江,陈章权,广东,1,所谓自由，不是随心所欲，而是自我主宰，珍惜你的时间
124,广州,二刀,广东,1,&lt;痞子英雄之全面开战&gt;
125,,汉瑟姆李,,1,...
126,济南,sunrise,山东,2,
127,,canrey,Firenze,2,
128,广州,曾虹,广东,2, 美玉无瑕
129,石家庄,浪潮 陈腾飞,河北,1,河北区浪潮存储唯一出货口182-0311-1191
130,广州,严飞,广东,1,在该奋斗的年龄，拒绝安逸，度过一段自己都能被感动的日子。
131,广州,小吜鱼,广东,1,被盗一空！
132,广州,蚂蚁,广东,1,人在旅途
133,广州,邱德峰,广东,1,
134,河源,谢统才,广东,1,道法自然
135,广州,朱镜潮,广东,1,主人很懒
136,,桂填13113387539,,0,德、智、仁、义、勇。
137,广州,张峻铭,广东,1,有梦就会红
138,,❤ ️Rain,,2,
139,,💬Alex💬,Turin,1,愤怒是对自己无能的痛苦！
140,海淀,张伯衡,北京,1,为了妳的到来！
141,,成翔小陶,,0,
142,广州,视新-苏,广东,1,视新电子
143,深圳,程肇文,广东,1,
144,海淀,高小兴,北京,2,
145,广州,卢镇明,广东,1,牛牛
146,深圳,欧阳喜,广东,1,将者，勇于决策
147,广州,静静李,广东,2,
148,广州,向日葵花花肥猪仔,广东,1,
149,朝阳,Cindy 🎀,北京,2,好好生活，天天向上!!
150,广州,甜,广东,2,
151,长沙,牛牛,湖南,1,我就是我
152,济南,卢安涛,山东,1,
153,,tiant,,0,
154,广州,songyn,广东,2,
155,广州,欧迪,广东,1,引领国产潮流
156,广州,萬物生長靠太阳,广东,1,
157,广州,貓BB✪ω✪🍭,广东,2,嘛哩嘛哩哄
158,长沙,刘昊,湖南,1,我会一直在你身边，换取最后一刻你能在我身边！
159,,J❇,广东,2,祝愿天下的母亲身体健康！开心每一天！
160,郑州,乔,河南,1,
161,,👑SHEwj^_−☆,,2,"勿忘初心<span class=""emoji emoji1f495""></span>"
162,广州,周军,广东,1,山水
163,深圳,乔,广东,1,相信自己所坚持的，牺牲在所难免。甘愿做，欢喜受。
164,深圳,妮妮,广东,2,
165,广州,谭景钊,广东,1,等待是浪费青春，转注当下！！
166,乌鲁木齐,天创嘉业服务器,新疆,1,
167,景德镇,david ,江西,1,自律  自尊  自省
168,,Carmen😊😊逢周二休,,2,
169,广州,越,广东,1,格物 致知 诚意 正心 修身 齐家 治国 平天下
170,广州,挺,广东,1,"休说世事常变,变幻才是永恒....20170518"
171,青岛,张喜山,山东,1,三人行
172,广州,石小花,广东,2,没有个性才是我的个性
173,广州,kent,广东,1,
174,杭州,Kaelyn,浙江,2,行到水穷处，坐看云起时。
175,广州,越减越肥嘅金枕妈,广东,2,
176,郑州,毕建伟,河南,1,制造业-降本增效-数据服务
177,芜湖,…,安徽,2,戏…
178,广州,昊仔个爹D—斌,广东,1,
179,,J_D,,1, 天空黑暗到一定程度，星辰就会熠熠生辉。
180,广州,联趣~唐光东,广东,1,联想桌面工作站与联想移动工作站广东地区服务商
181,合肥,计皓然,安徽,1,一切顺利   哈哈
182,佛山,曾京宙,广东,1,呵呵
183,深圳,dmf,广东,2,珍爱生命，远离朋友圈
184,广州,古丽红,广东,2,得之淡然，失之泰然，拿得起放得下！
185,广州,祖祥,广东,1,seven qin
186,广州,黄秋萍,广东,2,闲谈不论人非、静坐常思己过。
187,广州,王晨,广东,1,guangzhou
188,广州,陆艳艳,广东,2,练好根基，你便破茧成蝶
189,广州,思宇,广东,2,
190,广州,骆继明,广东,1,教育整体设备（信息化）系统解决方案
191,湾仔区,张伟,香港,1,不动
192,广州,宁夏之,广东,2,
193,广州,萍萍,广东,2,
194,茂名,forever,广东,2,zzzzzz。。。。。。
195,深圳,Bay Max,广东,2,
196,深圳,带三个表,广东,1,信奉真主，并拴好你的骆驼
197,广州,周杨,广东,1,
198,广州,姚姚,广东,2,心中有多少恩，就有多少福！
199,广州,妹儿,广东,2,太阳公公快出来呀。
200,广州,slbb,广东,1,无语
201,广州,深海的鱼,广东,1,
202,广州,Roach,广东,1,
203,广州,h-wenty,广东,2,梦想还是要有的，万一见鬼了呢
204,肇庆,梁振鸿,广东,1,我是来地球出差，旅游，学习，考察兼玩耍的！
205,广州,Prince 豪,广东,1,大家好
206,广州,周俏芬,广东,2,
207,广州,和平与爱,广东,1,随缘……
208,广州,Figo.OY,广东,1,who is Figo?
209,深圳,Dengguoqiang,广东,1,平常心
210,广州,annie,广东,2,生活就像一面镜子，你对他笑他就对你笑，你对他哭他就对你哭！
211,广州,kkk,广东,1,正心 修身
212,广州,Simon丶,广东,1,几多对，持续爱到几多岁，当生命仍能为你豁出去。
213,广州,荆晶,广东,2,难念的经🤒🤒🤒
214,大兴,恒燕💝🎀👑,北京,2,寻求明白，寻求领会，寻求舍己，寻求爱。
215,广州,CeCi,广东,2,Don't tmd worry，Be tmd happy‼️
216,东区,亚紀,香港,1,
217,广州,Roy.姚,广东,1,滚犊子
218,深圳,桃满园鲜花婚礼(美女姐姐),广东,2,自己的改变才是命运的改变！
219,广州,pucca,广东,2,一切都是最好的安排
220,广州,Zo,广东,1,睇人唔顺眼，系你修养唔够。
221,,海富,,1,海立云垂 富临四方
222,广州,TobyDu 昀蓉,广东,2,昀蓉时光品牌创始人 ，做最干净的食物
223,,胡书勤,,2,
224,,Benny,Amsterdam,1,解渴吖，我要雪碧、可樂、七喜果粒橙
225,广州,钟玉银,广东,2,成功的路上并不拥挤，因为能坚持的人不多！
226,广州,小白,广东,2,
227,广州,🌸郭静Canny,广东,2,静行致远、自强不息。取悦别人，不如快乐自己！
228,广州,思齐,广东,2,
229,广州,ϵ(ᵒᴥᵒ)϶,广东,2,"I believe l can,just do it ! !"
230,武汉,King,湖北,2,心死了，生活还得继续！
231,广州,何健东,广东,1,Tony He
232,海淀,胜,北京,1,
233,,Y,,2,^o^…^v^…
234,广州,＠,广东,2,开心最重要，懂得感恩，尝尽人生，随遇而安
235,深圳,Bella lixia,广东,2,自命平凡却想奔跑，固执却想追求进步，想要靠自己活漂亮。
236,郴州,我心飞翔,湖南,1,诚信做人，心怀感恩
237,珠海,艾伟,广东,1,水低为海，人低为王！
238,广州,毕 （秦妈&amp;洲记火锅店）,广东,1,"Fuck the world if you're rich.
Otherwise, go fuck yourself."
239,广州,孙行者,广东,1,简单，勤俭，助人，知足，感恩，泰然。
240,广州,Koowo,广东,1,有没人打网球
241,,王,,1,- 
242,,🌺yvonne🌴👑,广东,2,"愛我啲寶贝们<span class=""emoji emoji1f618""></span>希望我啲寶贝们健康<span class=""emoji emoji1f4aa""></span><span class=""emoji emoji1f4aa""></span>快乐成长<span class=""emoji emoji1f44f""></span><span class=""emoji emoji1f389""></span>"
243,南京,款款,江苏,2,诚信可赢天下，守信方得人心!
244,,wing,广东,0,
245,广州,_G  🌮,广东,2,". 人生得意须尽欢<span class=""emoji emoji1f37b""></span> <span class=""emoji emoji1f37b""></span>"
246,广州,鋮,广东,1,"一生一世一双人半醉半醒半浮生
一场烟雨一场梦一生相思一生念"
247,广州,yakult,广东,2,爱你，健健康康
248,合肥,¾寻找四叶草,安徽,2,居里夫人……
249,广州,迷时的鱼,广东,1,
250,韶关,戈仔,广东,1,"好人难做<span class=""emoji emoji1f61e""></span>还是做好自己吧！😐"
251,广州,彭锦涛,广东,1,我就是我
252,广州,Lyla,广东,2,life work balance
253,广州,Flower Guo,广东,1,"<span class=""emoji emoji1f531""></span>Super Agent.   Magician."
254,广州,陆丽艳,广东,2,繁华、荒凉、喧嚣、还有静美，这本是生命的本色！
255,肇庆,与狼共武,广东,1,不在25号的都是阴仔
256,广州,朵,广东,2,努力做最好的自己！
257,广州,陈延波,广东,1,我要去掉口头禅
258,,云磊-yunlei,,2,一生至少该有一次，为了某个人而忘了自己；不求结果，不求同同行
259,广州,Frank,广东,1,深激博发 • 聚浪成潮
260,,Fiona 雪艳,Burgenland,2,15953100386打电话用这个
261,广州,Inspur-王镇泽,广东,1,只有一种英雄主义，就是在认清生活真相之后依然热爱生活。
262,,Humbunklung ,,0,
263,广州,广州肥罗,广东,1,Jacky
264,海淀,bao shuncang,北京,1,
265,漳州,南风,福建,1,狮虎只会独处
266,广州,Lenovo 张栋鑫,广东,1,做人要识相
267,清远,广东启盟- 郭  星,广东,1,把脾气拿出来，那叫本能；把脾气压下去，那叫本事。
268,广州,叶韦锋,广东,1,努力努力，再努力。
269,潮州,卢萍 😘,广东,2,"新的一年无所畏惧<span class=""emoji emoji1f609""></span>"
270,,广州zhou,,0,
271,广州,lemon,广东,2,
272,广州,黄智华,广东,1,
273,广州,张先生,广东,1,安红，俺想你！
274,广州,晓明,广东,2,用心工作，开心生活
275,,端木赐,Bern,1,谢谢你(*^﹏^*)一定会幸福的
276,广州,Jessie刚姐,广东,2,
277,广州,駿涵,广东,1,瓜三年 穆三年 瓜穆相看又三年
278,,AMH宝马车友会,,1,种缘结缘，知恩感恩
279,广州,流水人家,广东,1,
280,,晶晶,,2,"半永久眉眼唇～私人订制，嫌化妆麻烦的美女们，赶紧约起哦<span class=""emoji emoji1f618""></span>"
281,广州,柳柳,广东,2,专注！
282,广州,早晨阳光,广东,1,
283,广州,吉月季,广东,2,
284,通州,☁️☁️💕💕,北京,1,我还是，很想念你
285,大同,Powerful 丹丹,山西,2,
286,广州,Frank🐷,广东,1,有一种学习方法叫坚持不懈。
287,深圳,石头,广东,1,
288,广州,婵婵😘,广东,2,你若盛开，清风自来！
289,潮州,Chanyy,广东,1,理想半死不活地躺着
290,临沂,拂晓知辰,山东,1,运动赋予活力，激情燃烧青春！
291,,小浪,Luanda,2,小浪-最齐全的产品介绍，最好玩的品牌活动，轻阅读，涨姿势
292,,Lily.㸚㸚,,2,
293,广州,Peilei_Lin,广东,1,Always hold on to your dreams
294,广州,肥毅,广东,1,
295,广州,Cindy,广东,2,inner peace
296,,Meko,,2,
297,长春,四月,吉林,1,就算你壯闊胸膛，不敵天氣
298,广州,小雅,广东,2,天道酬勤
299,,罗岸锌,,1,换一种心情
300,广州,L.Danieltang,广东,1,
301,广州,💋B w 斐✨🌸,广东,2,"一切都是最好的安排<span class=""emoji emoji1f48b""></span><span class=""emoji emoji1f48b""></span>"
302,广州,这个熊猫不太冷🐼,广东,2,"随心<span class=""emoji emoji1f60a""></span>"
303,,于喆,,1,"<span class=""emoji emoji1f609""></span>"
304,成都,梁丽,四川,2,宝宝快快长
305,广州,Fay 🌻,广东,2,
306,,🐱🐱BeautifulQQ🐈🐈,Chiang Mai,2,.
307,广州,葛德辉,广东,1,每天抽空多看书，书能够给你带来更多收获
308,岳阳,Kevin,湖南,1,天道酬勤
309,广州,梦想实现家-持续行动者,广东,1,爱
310,广州,Mango,广东,1,有得必有失，奋斗不停机
311,Cairns,圈儿,Queensland,2,接纳不能改变的，改善能够改善的，享受已经拥有的=OK，幸福
312,揭阳,Jamie .Z,广东,2,
313,广州,陈慧,广东,2,一帘松翠 十里荷香
314,广州,哼哼叽叽哇哇,广东,2,Pain is inevitable.Suffering is optional.
315,广州,子洋,广东,2,
316,河源,夜空静雨,广东,2,珍惜生活，珍惜身边的人！
317,广州,志明,广东,1,微信没有及时回复，请打15975542294或者13229994235
318,广州,曾春祥,广东,1,奔跑.人生路
319,广州,兜兜,广东,2,广州市建新五金有限公司
320,Coventry,嘀嗒钟,England,1,努力且真诚的存在，不论盛放与否
321,广州,はす,广东,1,你若盛开，清风自来
322,广州,925-龙～壹品,广东,1,努力成为三无人员——无愧于民，无悔于心，无憾于世！
323,广州,小静bb,广东,2,我系靓女
324,,D@h,,1,坚持不懈，努力奋斗
325,广州,☀️winnie☀,广东,2,
326,,陈小白,Tai Po,2,
327,广州,Dboy辉,广东,1,打打球，跑跑步，锻炼身体！
328,,笑,,0,
329,,Stone,,1,
330,广州,葉俊霖 J.L.,广东,1,为经师者众，为人师者寡。
331,襄阳,杰罗,湖北,1,越努力越幸运
332,深圳,ʚCɞ糖糖ʚCɞ,广东,2,佛在路上ʚ◡̈⃝ɞ庙在心中
333,广州,"joe""",广东,1,
334,肇庆,日月风华,广东,1,黄金万量，茶香润味！
335,广州,ERIC ZENG,广东,1,越努力，越幸运！
336,合肥,安徽安联云@宋飞,安徽,1,宋飞   15375427725
337,广州,遁空,广东,1,
338,广州,姚明,广东,1,回到原点
339,广州,伍美如 Yuki,广东,2,
340,广州,小徒薯薯,广东,1,明有远方，夜有归宿。
341,广州,✨钱Qian🍗🍻,广东,2,选择自己所爱的，爱自己所选择的～～
342,广州,panda,广东,1,小胜靠智，大胜靠德...
343,海淀,阿木,北京,1,
344,广州,yan,广东,2,"enjoy my life<span class=""emoji emoji1f60a""></span>"
345,深圳,小兔牙,广东,2,流过泪的眼睛更明亮，滴过血的心灵更坚强
346,,Jedi,,1,【迈向富非】
347,珠海,louyusi,广东,1,
348,郑州,👑糖糖,河南,2,不必把太多人，请进生命里。
349,中山,黄婉文,广东,2,随遇而安
350,广州,李大鑫,广东,1,鑫承华三、华为交换机，深信服，康普日海布线系统。13928776929
351,,RainneChi,,0,
352,广州,Hans,广东,1,
353,海淀,A浪潮 德康 么歆燕,北京,2,"想要别人给你鼓掌
先学会给别人鼓掌"
354,,鼎华东（IT集成及运维）,Kowloon City,1,369
355,合肥,倩儿,安徽,2,时光荏苒，记忆都要模糊了……
356,,May,,2,
357,,Amy🌸 🌸,,2,开心过好每一天
358,佛山,Jack,广东,1,建立自我，追求无我
359,广州,Y o yo Chao,广东,2,
360,广州,kevin yuan,广东,1,冰河
361,广州,_黄_贊_,广东,1,一定是特别的缘分，才可以一路走来变成一家人…
362,广州,TUTU,广东,2,
363,深圳,罗群锋,广东,2,
364,中西区,💗㍿伊伊Eva💭,香港,2,一期一会
365,,🎈serena🌂👙💋,Frankfurt,2,For the rest of my life to love you.
366,普陀,泡泡龙,上海,2,你若盛开，蝴蝶自来；你若精彩，天自安排
367,深圳,Luky奇,广东,2,愿有岁月可回首，且以深情共白头！
368,广州,朱孝军,广东,1,电话：18122266028
369,广州,罗威,广东,1,"千秋大业三杯酒,万丈红尘一壶茶"
370,,土家弯心脚,Sham Shui Po,1,不丢人性，方得始终
371,中山,快乐家族_刘永胜,广东,1,创造自己比证明自己更重要！1
372,广州,黃樹蔭,广东,1,精神病人点子多，弱智孩子快乐多。
373,广州,Alex,广东,1,素心若兰，安之若素！
374,深圳,tide,广东,1,
375,广州,jocelyn,广东,2,敞开！放下！从心起航！
376,广州,Toby Du,广东,2,朝发善愿，夕可成林
377,广州,amy   🌺🎊,广东,2,"不要着急，最好的总会在最不经意的时候出现。
"
378,广州,🐳飞飞,广东,2,风物长宜放眼量
379,广州,达,广东,1,
380,济南,王娜,山东,2,做好自己，其他的交给时间。。。
381,,南征北战,,1,伊拉克
382,广州,铁麦,广东,1,顶着压力，出人头地！
383,广州,原,广东,2,
384,佛山,Sam Xing,广东,1,
385,广州,马啸北,广东,2,
386,广州,程炯秋-源康环保科技,广东,1,"还原水<span class=""emoji emojiae""></span>，新风系统，健生米<span class=""emoji emojiae""></span>，全屋水净化"
387,广州,NC桌面-添喜.P特,广东,1,"用户桌面虚拟化,美国NComputing帮你十分钟轻松搞定！"
388,广州,广州联趣-联想图形工作站-刘艳,广东,2,广州联趣刘艳，联想图形工作站全系列 电话18620801299
389,,婷,,2,
390,济南,大艾米,山东,1,开心果
391,厦门,姚伟,福建,1,梦想还是要有的，万一实现了呢
392,广州,李为浓,广东,1,善待老人！A
393,广州,李晓辉,广东,1,躬行致用
394,广州,Mark,广东,1,……
395,朝阳,听林之声,北京,1,要成长为新的物种，就要经历所有你不会再扮演的角色。
396,揭阳,小Ⅴ,广东,1,广州写字楼，商铺租售
397,广州,雅雯,广东,2,
398,广州,康康同学,广东,1,
399,,朱颜,,2,
400,,S࿔.༦ཌི✨🌟✨འྀུ༦࿐ོ,,1,【倾城8ཻ關府】༊྄ཻᏴ࿆Ꮻ࿆Ꭶ࿆Ꮥ࿆
401,广州,lisle,广东,2,
402,,曹洁,广东,2,女：水也，坤也，厚德载物！
403,惠州,智冠手掌静脉识别-於巧红,广东,1,手掌静脉门禁考勤签到系统，监狱AB门，手掌静脉枪弹柜，保密柜等
404,广州,小潘潘,广东,1,重新出发
405,广州,Vincent,广东,1,朋友圈已封不再更新
406,,Gavin,,1,come as you are
407,泉州,文清,福建,1,OA和门户、移动办公，知识管理
408,广州,陈艳华,广东,2,三思而后行
409,广州,luoxh,广东,2,
410,烟台,🌻Mun,山东,2,不能太强求，不能太自由、随波逐流。
411,海淀,周健,北京,1,
412,广州,毓华,广东,1,此人很贰，勿近
413,深圳,仙,广东,2,不忘初心。
414,广州,杨勇18038608918,广东,1,优先联系18038608918号码。
415,深圳,Leo 刘佳,广东,1,
416,东莞,黄晓月·(燕膠居）,广东,2,苦海翻起爱恨，在世间难逃命运。
417,湛江,陈长恒,广东,1,"""仰天大笑出门去,莫后悔,不犹豫"""
418,广州,饶清辉,广东,2,
419,深圳,林波,广东,1,
420,广州,郑江,广东,1,物联+运维
421,广州,Cy,广东,2,One more time one more chance
422,深圳,🍀李传亚18676365671软件,广东,2,18676365671 Windows  SQL  oracle  office 
423,广州,藝,广东,1,
424,广州,丰华,广东,1,一个人的奔跑！
425,,毕景桐,,0,花若盛开自有蝶来
426,广州,兵者@上兵伐谋,广东,1,只要思想不滑坡，办法总比困难多。
427,广州,₂₀₁₆李坏仁₂₀₁₇²⁰¹⁷,广东,1,我没屏蔽任何人，我是没有朋友圈。
428,珠海,拎壶冲,广东,1,Somewhere in time
429,广州,海Lee,广东,1,
430,深圳,河马先生【吴轩】,广东,1,车干
431,广州,小叮当=Eva=,广东,2,"生活的理想，就是为了理想的生活。
"
432,广州,Gee,广东,2,堅定自持。
433,广州,yuki,广东,2,爱生活，爱你
434,郑州,杜春晖,河南,1,人生是如此辉煌，生命是如此精彩！
435,,鹰,Canberra,2,患难生忍耐，忍耐生老练，老练生盼望！
436,,姜小七。,,2,反正你们不会记得我的故事。那我不如自顾精彩。
437,海淀,陈朋,北京,1,
438,广州,李亚军.UPS.精密空调.动环监控,广东,1,工作中追求完美，生活中追求平凡。
439,济南,爱晓.,山东,2,27，不负好时光。
440,广州,LONG,广东,1,平安是福
441,广州,帝福尼,广东,1,欲哭无泪，欲笑不能……
442,,礼少龙,,1,
443,广州,尹强,广东,1,一般不说话
444,广州,大桃小七🍑✌🏻🍃,广东,1,可以悄悄的来，但别悄悄的走。
445,广州,邓小兵,广东,1,生命中曾经有过的所有灿烂，终究都需要用寂寞来偿还。
446,海淀,安🌸涵钰,北京,2,
447,肇庆,╭□□╮,广东,1,当是不逞之人，曲为口端之说，遂怀市虎之疑，乃致投杼之惑耳！
448,广州,Choryin Chung,广东,2,
449,广州,刘伯昌,广东,1,
450,广州,卓sir,广东,1,欢迎咨询垫资过桥赎楼抵押业务。
451,,贺新,Roma,1,要活得不浪费！
452,广州,__Kiss_fj,广东,2,__童话都是骗人的，什么都不完美…
453,广州,C星星C,广东,1,一步难，一步佳；难一步，佳一步。
454,广州,张友鹏,广东,1,细节决定成败
455,广州,许玉平15002005225,广东,1,15002005225
456,,黄艳丽 医疗信息、咨询,,0,
457,广州,雷老虎,广东,1,别发表情包，费流量
458,,kongkawai,,2,Be a madness
459,广州,李卫东,广东,1,一转身就是一辈子。
460,广州,顺顺的我,广东,1,"女人不补好易老,食补之道,一起来围观,探PQ"
461,广州,谭进,广东,1,
462,广州,vincent lv,广东,1,猫咪爱兔
463,,王琼,,2,
464,,冯俊伟,,1,数据中心建设：浪潮华为IBM 服务器存储核心交换机 
465,通州,王勇&amp;SUV,北京,1,紫光西部数据
466,,深深深,,2,有志者事竟成
467,广州,蒯琴,广东,2,心有猛虎，细嗅蔷薇
468,广州,余伟源,广东,1,以梦为马，不负韶华。
469,,走心,山东,2,
470,广州,瘦子阮雅晶,广东,2,勤劳勇敢 善良活泼
471,广州,荷包蛋～礼物飞,广东,1,既然选择了远方便只能风雨兼程！努力到无能为力，拼搏到感动自己
472,深圳,Joyce Lo,广东,2,"To be or not to be,that's a question 13510703344"
473,,大寶♛,,1,本人不玩朋友圈(⁄ ⁄ ⁄ω⁄ ⁄ ⁄)
474,广州,c c,广东,2,新奇，好玩
475,朝阳,徐岗（广东蔚海）,北京,1,精心做事，大气为人
476,广州,欢欢,广东,2,笑一笑，生活会更好！
477,,卢燕仪,广东,2,享受生活!
478,深圳,晓云,广东,2,你若盛开，蝴蝶自来
479,广州,蔡春阳,广东,1,不辜负每一份热情，不讨好每一个冷漠。
480,深圳,吴晓兵,广东,1,
481,,🎀 Shadow Hu,,2,"向来缘浅，奈何情深，已然情深，何惧缘浅 <span class=""emoji emoji1f483""></span>"
482,,猫咪,,2,缘分天空
483,广州,周大威,广东,1,做个大自然的搬运工，把健康的食品带到大家的身边，希望大家健康
484,广州,kelvin-zeng,广东,1,当你站得还不够高的时候，请不要谈尊严和性格。
485,武汉,张俊龙,湖北,1,敢为人先，创新不止！！！
486,广州,Chunan.Lin,广东,1,
487,南宁,ac,广西,1,
488,广州,Alisa,广东,2,安于流年，享俗世。
489,广州,ly,广东,2,快乐的人，快乐的心。
490,广州,余明,广东,1,
491,,安徽浪潮服务器-甘安庆,,1,安徽浪潮服务器！非诚勿扰！项目请提前报备！
492,广州,悟道自然,广东,1,路越远，心越近
493,广州,练健华,广东,1,2017，努力……
494,广州,长丽,广东,2,
495,海淀,漫彩鱼,北京,2,愿以此为始，一日千里。
